Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,792,Turkey,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,200,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,818,Egypt,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,7082,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,826,United Kingdom,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,1344086,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,842,United States of America,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,20403446,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,894,Zambia,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,7196,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,404,Kenya,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,426,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,410,Rep. of Korea,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,502044,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,440,Lithuania,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,44,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,458,Malaysia,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,5625,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,462,Maldives,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,53891,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,484,Mexico,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,709286,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,1535108,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,504,Morocco,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,758733,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,540,New Caledonia,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,3598,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,548,Vanuatu,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,137,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,554,New Zealand,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,1536870,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,558,Nicaragua,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,73198,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,566,Nigeria,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,202,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,579,Norway,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,3940551,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,581,United States Minor Outlying Islands,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,99967,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,586,Pakistan,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,30674,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,591,Panama,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,58091,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,528,Netherlands,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,166932,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,604,Peru,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,671435,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,608,Philippines,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,951917,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,616,Poland,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,155765,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,620,Portugal,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,335796,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,643,Russian Federation,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,1260396,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,686,Senegal,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,41363,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,690,Seychelles,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,23962,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,699,India,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,7963425,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,702,Singapore,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,127925,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,704,Viet Nam,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,10544037,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,724,Spain,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,34377,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,752,Sweden,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,6139,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,764,Thailand,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,5928061,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,768,Togo,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,472,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,776,Tonga,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,94,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,780,Trinidad and Tobago,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,112053,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,792,Turkey,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,240754,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,800,Uganda,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,62554,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,788,Tunisia,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,3837,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,826,United Kingdom,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,687142,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,842,United States of America,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,36724101,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,862,Venezuela,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,4198,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,398,Kazakhstan,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,586158,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,372,Ireland,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,377707,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,376,Israel,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,5937,,,0
